"index_match","call_type","bin_choice"
308,"other","other"
309,"contact - ladder multiple","contact"
310,"other","other"
311,"contact - ladder middle","contact"
312,"other","other"
313,"other","other"
314,"contact - mix alarm","contact"
315,"contact - mix alarm","contact"
316,"contact - four triangles","contact"
317,"other","other"
318,"other","other"
319,"other","other"
320,"other","other"
321,"contact - mix alarm","contact"
322,"contact - typical","contact"
323,"other","other"
324,"other","other"
325,"other","other"
326,"other","other"
327,"contact - four triangles","contact"
328,"other","other"
329,"other","other"
330,"other","other"
331,"other","other"
332,"other","other"
333,"other","other"
334,"contact - ladder middle","contact"
335,"contact - ladder start","contact"
336,"contact - ladder start","contact"
337,"contact - ladder start","contact"
338,"other","other"
339,"other","other"
340,"contact - typical","contact"
341,"other","other"
342,"other","other"
343,"other","other"
344,"contact - ladder start","contact"
345,"contact - ladder multiple","contact"
346,"other","other"
347,"other","other"
348,"other","other"
349,"other","other"
350,"contact - typical","contact"
351,"other","other"
352,"other","other"
353,"contact - mix alarm","contact"
354,"other","other"
355,"other","other"
356,"contact - typical","contact"
357,"contact - ladder start","contact"
358,"other","other"
359,"other","other"
360,"other","other"
361,"other","other"
362,"other","other"
363,"contact - typical","contact"
364,"other","other"
365,"contact - ladder multiple","contact"
366,"contact - mix alarm","contact"
367,"contact - mix alarm","contact"
368,"other","other"
369,"contact - ladder start","contact"
370,"contact - ladder start","contact"
371,"other","other"
372,"contact - mix alarm","contact"
373,"other","other"
374,"contact - typical","contact"
375,"contact - mix alarm","contact"
376,"other","other"
377,"other","other"
378,"contact - mix alarm","contact"
379,"other","other"
380,"other","other"
381,"other","other"
382,"other","other"
383,"contact - typical","contact"
384,"other","other"
385,"contact - typical","contact"
386,"other","other"
387,"other","other"
388,"contact - ladder middle","contact"
389,"contact - typical","contact"
390,"other","other"
391,"other","other"
392,"other","other"
393,"other","other"
394,"contact - typical","contact"
395,"contact - mix alarm","contact"
396,"other","other"
397,"contact - mix alarm","contact"
398,"contact - mix alarm","contact"
399,"other","other"
400,"other","other"
401,"contact - typical","contact"
402,"other","other"
403,"other","other"
404,"contact - typical","contact"
405,"other","other"
406,"other","other"
407,"other","other"
408,"other","other"
409,"contact - ladder middle","contact"
410,"contact - mix alarm","contact"
411,"contact - ladder middle","contact"
412,"other","other"
413,"other","other"
414,"other","other"
415,"contact - ladder middle","contact"
416,"contact - ladder start","contact"
417,"contact - ladder middle","contact"
418,"other","other"
419,"other","other"
420,"contact - ladder multiple","contact"
421,"other","other"
422,"contact - mix alarm","contact"
423,"other","other"
424,"contact - mix alarm","contact"
425,"other","other"
426,"contact - ladder middle","contact"
427,"contact - ladder start","contact"
428,"contact - mix alarm","contact"
429,"contact - ladder middle","contact"
430,"other","other"
431,"contact - ladder start","contact"
432,"other","other"
433,"other","other"
434,"contact - ladder middle","contact"
435,"contact - mix alarm","contact"
436,"other","other"
437,"contact - mix alarm","contact"
438,"contact - ladder start","contact"
439,"other","other"
440,"other","other"
441,"contact - ladder multiple","contact"
442,"other","other"
443,"other","other"
444,"contact - ladder start","contact"
445,"other","other"
446,"contact - typical","contact"
447,"other","other"
448,"other","other"
449,"other","other"
450,"contact - typical","contact"
451,"other","other"
452,"other","other"
453,"other","other"
454,"contact - ladder middle","contact"
455,"other","other"
456,"other","other"
457,"contact - ladder multiple","contact"
458,"contact - ladder multiple","contact"
459,"contact - typical","contact"
460,"contact - mix alarm","contact"
461,"contact - typical","contact"
462,"contact - ladder middle","contact"
463,"other","other"
464,"other","other"
465,"contact - ladder middle","contact"
466,"other","other"
467,"contact - mix alarm","contact"
468,"contact - mix alarm","contact"
469,"contact - ladder start","contact"
470,"other","other"
471,"other","other"
472,"other","other"
473,"contact - mix alarm","contact"
474,"contact - typical","contact"
475,"other","other"
476,"contact - typical","contact"
477,"contact - mix alarm","contact"
478,"contact - ladder start","contact"
479,"other","other"
480,"contact - typical","contact"
481,"contact - mix alarm","contact"
482,"contact - typical","contact"
483,"other","other"
484,"contact - mix alarm","contact"
485,"contact - ladder middle","contact"
486,"contact - four triangles","contact"
487,"contact - ladder middle","contact"
488,"other","other"
489,"other","other"
490,"contact - mix alarm","contact"
491,"contact - mix alarm","contact"
492,"other","other"
493,"other","other"
494,"other","other"
495,"contact - four triangles","contact"
496,"other","other"
497,"other","other"
498,"contact - typical","contact"
499,"other","other"
500,"contact - four triangles","contact"
501,"other","other"
502,"other","other"
503,"contact - mix alarm","contact"
504,"other","other"
505,"contact - typical","contact"
506,"contact - mix alarm","contact"
507,"contact - ladder start","contact"
508,"other","other"
509,"other","other"
510,"other","other"
511,"contact - typical","contact"
512,"contact - ladder start","contact"
513,"other","other"
514,"contact - typical","contact"
515,"other","other"
516,"contact - typical","contact"
517,"other","other"
518,"other","other"
519,"other","other"
520,"other","other"
521,"contact - ladder start","contact"
522,"other","other"
523,"other","other"
524,"other","other"
525,"contact - ladder multiple","contact"
526,"contact - ladder multiple","contact"
527,"contact - mix alarm","contact"
528,"other","other"
529,"other","other"
530,"other","other"
531,"contact - ladder start","contact"
532,"contact - mix alarm","contact"
533,"contact - mix alarm","contact"
534,"contact - typical","contact"
535,"contact - typical","contact"
536,"contact - mix alarm","contact"
537,"contact - mix alarm","contact"
538,"other","other"
539,"contact - mix alarm","contact"
540,"other","other"
541,"contact - typical","contact"
542,"other","other"
543,"other","other"
544,"other","other"
545,"other","other"
546,"other","other"
547,"other","other"
548,"other","other"
549,"contact - mix alarm","contact"
550,"other","other"
551,"contact - ladder multiple","contact"
552,"other","other"
553,"contact - typical","contact"
554,"contact - mix alarm","contact"
555,"other","other"
556,"contact - mix alarm","contact"
557,"other","other"
558,"other","other"
